Unnamed: 0,Product_Name,Category_Path,Brand_Name,Raw_Description,Price_String
21,   Over-Ear Noise Canceling Headphones   ,Accessories > Keyboards,   Acoustics   ,Compact wireless earbuds with deep bass. <br>Waterproof!,172.79 USD
22,   Studio Monitor Headphones   ,Audio > Wireless > Earbuds,Acoustics,<p>High performance <b>lightweight</b> laptop for productivity.</p>,979
23,Gaming Desktop RTX 4070,Accessories > Keyboards,,Compact wireless earbuds with deep bass. <br>Waterproof!,₹80712.19
24,gaming desktop rtx 4070,Audio > Wireless > Earbuds,   SoundX   ,Compact wireless earbuds with deep bass. <br>Waterproof!,"$1,302.18"
25,slim ultrabook 14-inch,Tech > Audio > Speakers,   Apple   ,Compact wireless earbuds with deep bass. <br>Waterproof!,₹25944.69
26,ergonomic wireless mouse,Audio > Headphones,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1701.38 USD
27,usb-c multiport hub,Tech > Audio > Speakers,Zenith,High performance workstation laptop built for video editing.,₹41991.31
28,Air Lite Wireless Earbuds,Accessories > Adapters & Hubs,   Apple   ,Mechanical keyboard with tactile RGB switches.,1495
29,   Gaming Desktop RTX 4070   ,ELECTRONICS > LAPTOPS,techcorp,Professional studio monitor wired headphones for audio mixing.,Free
30,   Studio Monitor Headphones   ,,Acoustics,Affordable office laptop with long battery efficiency.,1013
31,slim ultrabook 14-inch,Wearables > Smartwatches,   Clicky   ,Smart watch with heart rate monitor and GPS tracking.,PRICE: $785.40
32,SMARTWATCH SERIES X,Tech > Audio > Speakers,Acoustics,Premium wireless over-ear headphones with active noise cancellation.,658
33,   Over-Ear Noise Canceling Headphones   ,,techcorp,High performance workstation laptop built for video editing.,25.42 USD
34,STUDIO MONITOR HEADPHONES,Wearables > Smartwatches,BuildPC,High performance workstation laptop built for video editing.,134.65 USD
35,Smartwatch Series X,,techcorp,Ergonomic wireless optical mouse with quiet clicks.,$105.77
36,Ergonomic Wireless Mouse,Audio > Wireless > Earbuds,   SoundX   ,Mechanical keyboard with tactile RGB switches.,$196.67
37,PORTABLE EXTERNAL SSD 1TB,Accessories > Keyboards,Zenith,Mechanical keyboard with tactile RGB switches.,$290.17
38,UNKNOWN PRODUCT,Electronics > Desktops,   techcorp   ,Ultra thin lightweight laptop for everyday office work.,Free
39,USB-C Multiport Hub,Accessories > Adapters & Hubs,TechCorp,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $191.95
40,Budget Office Laptop 15,Accessories > Mouse,SoundX,Mechanical keyboard with tactile RGB switches.,₹68051.02
41,Over-Ear Noise Canceling Headphones,Audio > Wireless > Earbuds,SoundX,<p>High performance <b>lightweight</b> laptop for productivity.</p>,₹147081.16
42,   4K Ultra HD Monitor 27-inch   ,Wearables > Smartwatches,,Compact wireless earbuds with deep bass. <br>Waterproof!,
43,Gaming Desktop RTX 4070,Electronics > Laptops,Clicky,Affordable office laptop with long battery efficiency.,100.58 USD
44,Smartwatch Series X,Electronics > Computers > Laptops,Zenith,Powerful gaming desktop PC with liquid cooling.,426
45,Over-Ear Noise Canceling Headphones,Electronics > Desktops,techcorp,Powerful gaming desktop PC with liquid cooling.,$330.97
46,Budget Office Laptop 15,Tech > Audio > Speakers,SoundX,High performance workstation laptop built for video editing.,$78.41
47,Over-Ear Noise Canceling Headphones,Wearables > Smartwatches,TechCorp,Premium wireless over-ear headphones with active noise cancellation.,1555
48,Budget Office Laptop 15,Accessories > Adapters & Hubs,LogiTech,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1366.96 USD
49,WORKSTATION LAPTOP PRO 16,ELECTRONICS > LAPTOPS,Zenith,Premium wireless over-ear headphones with active noise cancellation.,$1643.78
50,USB-C MULTIPORT HUB,Accessories > Mouse,Apple,Mechanical keyboard with tactile RGB switches.,1998
51,usb-c multiport hub,Wearables > Smartwatches,,Premium wireless over-ear headphones with active noise cancellation.,224.51 USD
52,studio monitor headphones,ELECTRONICS > LAPTOPS,Clicky,Mechanical keyboard with tactile RGB switches.,$256.41
53,PROBOOK ULTRA LAPTOP 15-INCH,Accessories > Mouse,SoundX,Mechanical keyboard with tactile RGB switches.,234
54,   ProBook Ultra Laptop 15-inch   ,Accessories > Keyboards,   BuildPC   ,Affordable office laptop with long battery efficiency.,PRICE: $1854.92
55,ergonomic wireless mouse,Electronics > Computers > Laptops,Acoustics,Powerful gaming desktop PC with liquid cooling.,Free
56,Smartwatch Series X,Tech > Audio > Speakers,SoundX,Mechanical keyboard with tactile RGB switches.,1777
57,USB-C MULTIPORT HUB,Electronics > Computers > Laptops,LogiTech,Ultra thin lightweight laptop for everyday office work.,525
58,   USB-C Multiport Hub   ,Audio > Headphones,Acoustics,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$241.51
59,   Portable External SSD 1TB   ,Accessories > Adapters & Hubs,Apple,Ultra thin lightweight laptop for everyday office work.,"$1,562.75"
60,Air Lite Wireless Earbuds,Audio > Headphones,SoundX,Premium wireless over-ear headphones with active noise cancellation.,$1359.52
61,   Gaming Desktop RTX 4070   ,Accessories > Adapters & Hubs,TechCorp,Premium wireless over-ear headphones with active noise cancellation.,$1160.97
62,Studio Monitor Headphones,ELECTRONICS > LAPTOPS,techcorp,Powerful gaming desktop PC with liquid cooling.,Free
63,USB-C Multiport Hub,ELECTRONICS > LAPTOPS,   Apple   ,Smart watch with heart rate monitor and GPS tracking.,246
64,smartwatch series x,Audio > Headphones,TechCorp,Mechanical keyboard with tactile RGB switches.,-133.19
65,Slim Ultrabook 14-inch,Accessories > Mouse,LogiTech,Affordable office laptop with long battery efficiency.,$396.56
66,UNKNOWN PRODUCT,Audio > Headphones,SoundX,Affordable office laptop with long battery efficiency.,$699.33
67,Bluetooth Party Speaker,Accessories > Keyboards,,Compact wireless earbuds with deep bass. <br>Waterproof!,$759.15
68,Ergonomic Wireless Mouse,,BuildPC,Ultra thin lightweight laptop for everyday office work.,
69,Slim Ultrabook 14-inch,Electronics > Desktops,Apple,High performance workstation laptop built for video editing.,PRICE: $1566.94
70,USB-C MULTIPORT HUB,Electronics > Computers > Laptops,,Ergonomic wireless optical mouse with quiet clicks.,$933.26
71,usb-c multiport hub,Wearables > Smartwatches,LogiTech,Professional studio monitor wired headphones for audio mixing.,"$1,102.31"
72,air lite wireless earbuds,Electronics > Computers > Laptops,Clicky,Smart watch with heart rate monitor and GPS tracking.,"$1,960.45"
73,air lite wireless earbuds,Electronics > Desktops,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
74,USB-C MULTIPORT HUB,Electronics > Desktops,Acoustics,Professional studio monitor wired headphones for audio mixing.,1449.83 USD
75,   ProBook Ultra Laptop 15-inch   ,Electronics > Laptops,techcorp,Ergonomic wireless optical mouse with quiet clicks.,
76,   ProBook Ultra Laptop 15-inch   ,Accessories > Keyboards,   Clicky   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,Free
77,   4K Ultra HD Monitor 27-inch   ,Electronics > Laptops,Clicky,Professional studio monitor wired headphones for audio mixing.,-1736.57
78,   Mechanical RGB Keyboard   ,Electronics > Desktops,,Ergonomic wireless optical mouse with quiet clicks.,-1657.97
79,Budget Office Laptop 15,Accessories > Mouse,SoundX,Premium wireless over-ear headphones with active noise cancellation.,"$1,958.93"
80,   Budget Office Laptop 15   ,Electronics > Desktops,SoundX,Powerful gaming desktop PC with liquid cooling.,₹113466.31
81,UNKNOWN PRODUCT,,LogiTech,Mechanical keyboard with tactile RGB switches.,PRICE: $797.15
82,STUDIO MONITOR HEADPHONES,Accessories > Keyboards,SoundX,Smart watch with heart rate monitor and GPS tracking.,$1881.92
83,Ergonomic Wireless Mouse,ELECTRONICS > LAPTOPS,TechCorp,,1837
84,USB-C Multiport Hub,Accessories > Adapters & Hubs,TechCorp,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $495.94
85,BUDGET OFFICE LAPTOP 15,Audio > Wireless > Earbuds,   Apple   ,High performance workstation laptop built for video editing.,Free
86,smartwatch series x,Electronics > Desktops,TechCorp,Ultra thin lightweight laptop for everyday office work.,"$1,647.61"
87,AIR LITE WIRELESS EARBUDS,,   SoundX   ,Premium wireless over-ear headphones with active noise cancellation.,$1400.89
88,Gaming Desktop RTX 4070,Electronics > Desktops,techcorp,Ultra thin lightweight laptop for everyday office work.,₹8805.96
89,smartwatch series x,Electronics > Computers > Laptops,Acoustics,<p>High performance <b>lightweight</b> laptop for productivity.</p>,-519.91
90,UNKNOWN PRODUCT,Electronics > Computers > Laptops,Acoustics,Smart watch with heart rate monitor and GPS tracking.,-1932.29
91,Ergonomic Wireless Mouse,Electronics > Computers > Laptops,,Affordable office laptop with long battery efficiency.,₹96330.14
92,Smartwatch Series X,Electronics > Laptops,BuildPC,Mechanical keyboard with tactile RGB switches.,PRICE: $1425.48
93,PROBOOK ULTRA LAPTOP 15-INCH,Audio > Wireless > Earbuds,   techcorp   ,High performance workstation laptop built for video editing.,1181
94,UNKNOWN PRODUCT,Electronics > Laptops,SoundX,Professional studio monitor wired headphones for audio mixing.,-428.19
95,   Studio Monitor Headphones   ,,SoundX,Premium wireless over-ear headphones with active noise cancellation.,₹81859.64
96,AIR LITE WIRELESS EARBUDS,Wearables > Smartwatches,   Acoustics   ,Premium wireless over-ear headphones with active noise cancellation.,-845.97
97,   Air Lite Wireless Earbuds   ,Electronics > Computers > Laptops,LogiTech,Mechanical keyboard with tactile RGB switches.,PRICE: $1107.74
98,   USB-C Multiport Hub   ,Accessories > Mouse,Zenith,High performance workstation laptop built for video editing.,₹109552.26
99,   Workstation Laptop Pro 16   ,ELECTRONICS > LAPTOPS,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,₹149783.03
100,Studio Monitor Headphones,Electronics > Laptops,Clicky,Affordable office laptop with long battery efficiency.,1283.60 USD
101,Smartwatch Series X,Audio > Wireless > Earbuds,Zenith,Ultra thin lightweight laptop for everyday office work.,₹99323.24
102,Workstation Laptop Pro 16,Audio > Headphones,techcorp,High performance workstation laptop built for video editing.,PRICE: $1191.73
103,UNKNOWN PRODUCT,Electronics > Desktops,,Smart watch with heart rate monitor and GPS tracking.,$57.74
104,   4K Ultra HD Monitor 27-inch   ,Wearables > Smartwatches,BuildPC,Mechanical keyboard with tactile RGB switches.,Free
105,GAMING DESKTOP RTX 4070,ELECTRONICS > LAPTOPS,Apple,Mechanical keyboard with tactile RGB switches.,
106,   Slim Ultrabook 14-inch   ,Electronics > Laptops,Apple,Professional studio monitor wired headphones for audio mixing.,
107,   Workstation Laptop Pro 16   ,ELECTRONICS > LAPTOPS,Apple,Compact wireless earbuds with deep bass. <br>Waterproof!,-1448.14
108,Studio Monitor Headphones,Electronics > Computers > Laptops,SoundX,High performance workstation laptop built for video editing.,PRICE: $1500.73
109,usb-c multiport hub,ELECTRONICS > LAPTOPS,Zenith,Smart watch with heart rate monitor and GPS tracking.,PRICE: $325.19
110,smartwatch series x,Accessories > Mouse,Apple,Ergonomic wireless optical mouse with quiet clicks.,1974.01 USD
111,   Ergonomic Wireless Mouse   ,Tech > Audio > Speakers,TechCorp,Professional studio monitor wired headphones for audio mixing.,-1864.81
112,slim ultrabook 14-inch,ELECTRONICS > LAPTOPS,   TechCorp   ,High performance workstation laptop built for video editing.,₹130820.54
113,   Over-Ear Noise Canceling Headphones   ,Electronics > Computers > Laptops,,High performance workstation laptop built for video editing.,"$1,185.93"
114,MECHANICAL RGB KEYBOARD,Accessories > Adapters & Hubs,LogiTech,Powerful gaming desktop PC with liquid cooling.,53.05 USD
115,Workstation Laptop Pro 16,Electronics > Laptops,techcorp,Ergonomic wireless optical mouse with quiet clicks.,"$1,748.18"
116,slim ultrabook 14-inch,Wearables > Smartwatches,Clicky,Ultra thin lightweight laptop for everyday office work.,Free
117,4K Ultra HD Monitor 27-inch,Accessories > Adapters & Hubs,Acoustics,Powerful gaming desktop PC with liquid cooling.,$350.28
118,4K ULTRA HD MONITOR 27-INCH,Accessories > Adapters & Hubs,,Ergonomic wireless optical mouse with quiet clicks.,$1093.41
119,   Ergonomic Wireless Mouse   ,Audio > Wireless > Earbuds,,Affordable office laptop with long battery efficiency.,535.11 USD
120,gaming desktop rtx 4070,Electronics > Computers > Laptops,SoundX,Affordable office laptop with long battery efficiency.,212
121,   USB-C Multiport Hub   ,Electronics > Computers > Laptops,BuildPC,Smart watch with heart rate monitor and GPS tracking.,395
122,Portable External SSD 1TB,,   Clicky   ,High performance workstation laptop built for video editing.,1312.23 USD
123,BUDGET OFFICE LAPTOP 15,Electronics > Computers > Laptops,   SoundX   ,Professional studio monitor wired headphones for audio mixing.,Free
124,USB-C Multiport Hub,Wearables > Smartwatches,   Acoustics   ,Powerful gaming desktop PC with liquid cooling.,
125,   Bluetooth Party Speaker   ,Electronics > Computers > Laptops,   SoundX   ,Ergonomic wireless optical mouse with quiet clicks.,"$1,096.13"
126,UNKNOWN PRODUCT,Audio > Headphones,techcorp,High performance workstation laptop built for video editing.,-620.14
127,portable external ssd 1tb,,Zenith,Smart watch with heart rate monitor and GPS tracking.,-1962.02
128,slim ultrabook 14-inch,Electronics > Computers > Laptops,   SoundX   ,Premium wireless over-ear headphones with active noise cancellation.,$1324.17
129,ergonomic wireless mouse,Audio > Headphones,,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
130,bluetooth party speaker,Accessories > Adapters & Hubs,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,$256.50
131,GAMING DESKTOP RTX 4070,ELECTRONICS > LAPTOPS,Apple,Ultra thin lightweight laptop for everyday office work.,Free
132,Ergonomic Wireless Mouse,Electronics > Laptops,Zenith,<p>High performance <b>lightweight</b> laptop for productivity.</p>,94
133,BUDGET OFFICE LAPTOP 15,Electronics > Computers > Laptops,TechCorp,<p>High performance <b>lightweight</b> laptop for productivity.</p>,₹137768.31
134,GAMING DESKTOP RTX 4070,Audio > Headphones,SoundX,Ultra thin lightweight laptop for everyday office work.,"$1,647.80"
135,   USB-C Multiport Hub   ,Electronics > Laptops,   SoundX   ,Mechanical keyboard with tactile RGB switches.,"$1,829.68"
136,probook ultra laptop 15-inch,Audio > Headphones,LogiTech,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
137,Over-Ear Noise Canceling Headphones,Electronics > Desktops,   SoundX   ,Ergonomic wireless optical mouse with quiet clicks.,-558.83
138,portable external ssd 1tb,Wearables > Smartwatches,LogiTech,Professional studio monitor wired headphones for audio mixing.,PRICE: $1134.90
139,BLUETOOTH PARTY SPEAKER,Electronics > Laptops,BuildPC,Smart watch with heart rate monitor and GPS tracking.,"$1,701.97"
140,   4K Ultra HD Monitor 27-inch   ,Electronics > Laptops,   LogiTech   ,Powerful gaming desktop PC with liquid cooling.,₹81496.14
141,bluetooth party speaker,ELECTRONICS > LAPTOPS,Acoustics,Smart watch with heart rate monitor and GPS tracking.,
142,PORTABLE EXTERNAL SSD 1TB,Accessories > Mouse,TechCorp,Smart watch with heart rate monitor and GPS tracking.,
143,   ProBook Ultra Laptop 15-inch   ,Electronics > Laptops,   BuildPC   ,Powerful gaming desktop PC with liquid cooling.,790
144,Budget Office Laptop 15,Accessories > Mouse,BuildPC,Mechanical keyboard with tactile RGB switches.,
145,ERGONOMIC WIRELESS MOUSE,Audio > Wireless > Earbuds,BuildPC,Premium wireless over-ear headphones with active noise cancellation.,$234.04
146,4K ULTRA HD MONITOR 27-INCH,Accessories > Keyboards,,Affordable office laptop with long battery efficiency.,1321.54 USD
147,budget office laptop 15,Accessories > Keyboards,,Compact wireless earbuds with deep bass. <br>Waterproof!,$816.09
148,UNKNOWN PRODUCT,Wearables > Smartwatches,LogiTech,Smart watch with heart rate monitor and GPS tracking.,1438
149,4k ultra hd monitor 27-inch,,SoundX,Smart watch with heart rate monitor and GPS tracking.,1611
150,usb-c multiport hub,Tech > Audio > Speakers,LogiTech,Ergonomic wireless optical mouse with quiet clicks.,-284.01
151,UNKNOWN PRODUCT,Tech > Audio > Speakers,Clicky,Ergonomic wireless optical mouse with quiet clicks.,Free
152,   Workstation Laptop Pro 16   ,,Acoustics,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$504.57
153,   Gaming Desktop RTX 4070   ,Accessories > Adapters & Hubs,,Ergonomic wireless optical mouse with quiet clicks.,Free
154,GAMING DESKTOP RTX 4070,Accessories > Mouse,Apple,Premium wireless over-ear headphones with active noise cancellation.,1854
155,   Air Lite Wireless Earbuds   ,Electronics > Computers > Laptops,,Premium wireless over-ear headphones with active noise cancellation.,-641.61
156,   Portable External SSD 1TB   ,Electronics > Laptops,BuildPC,Powerful gaming desktop PC with liquid cooling.,63.16 USD
157,   Mechanical RGB Keyboard   ,Wearables > Smartwatches,BuildPC,Ergonomic wireless optical mouse with quiet clicks.,₹96602.35
158,ergonomic wireless mouse,Accessories > Keyboards,Zenith,Compact wireless earbuds with deep bass. <br>Waterproof!,1958
159,Portable External SSD 1TB,Audio > Wireless > Earbuds,,Ultra thin lightweight laptop for everyday office work.,
160,GAMING DESKTOP RTX 4070,Accessories > Keyboards,   Zenith   ,Ergonomic wireless optical mouse with quiet clicks.,PRICE: $571.47
161,Portable External SSD 1TB,Audio > Headphones,Clicky,Professional studio monitor wired headphones for audio mixing.,1791.95 USD
162,slim ultrabook 14-inch,Accessories > Adapters & Hubs,SoundX,,Free
163,budget office laptop 15,Audio > Wireless > Earbuds,Apple,Compact wireless earbuds with deep bass. <br>Waterproof!,44.43 USD
164,UNKNOWN PRODUCT,Accessories > Mouse,,Premium wireless over-ear headphones with active noise cancellation.,₹2943.03
165,USB-C Multiport Hub,Wearables > Smartwatches,SoundX,Mechanical keyboard with tactile RGB switches.,₹133470.77
166,4k ultra hd monitor 27-inch,Accessories > Keyboards,,Premium wireless over-ear headphones with active noise cancellation.,-635.68
167,4k ultra hd monitor 27-inch,Accessories > Mouse,SoundX,Affordable office laptop with long battery efficiency.,1578
168,Portable External SSD 1TB,Accessories > Mouse,Acoustics,Mechanical keyboard with tactile RGB switches.,₹6146.08
169,slim ultrabook 14-inch,Accessories > Adapters & Hubs,Zenith,Affordable office laptop with long battery efficiency.,
170,ergonomic wireless mouse,Accessories > Keyboards,SoundX,Smart watch with heart rate monitor and GPS tracking.,$1906.47
171,Budget Office Laptop 15,Tech > Audio > Speakers,techcorp,Premium wireless over-ear headphones with active noise cancellation.,Free
172,   Air Lite Wireless Earbuds   ,Audio > Wireless > Earbuds,BuildPC,Compact wireless earbuds with deep bass. <br>Waterproof!,$417.86
173,BLUETOOTH PARTY SPEAKER,Accessories > Mouse,   Zenith   ,,$583.27
174,studio monitor headphones,Electronics > Computers > Laptops,Zenith,Ultra thin lightweight laptop for everyday office work.,714.03 USD
175,gaming desktop rtx 4070,Electronics > Computers > Laptops,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,$786.91
176,ProBook Ultra Laptop 15-inch,Audio > Wireless > Earbuds,LogiTech,Premium wireless over-ear headphones with active noise cancellation.,PRICE: $1386.77
177,Smartwatch Series X,Wearables > Smartwatches,SoundX,Professional studio monitor wired headphones for audio mixing.,378.65 USD
178,Slim Ultrabook 14-inch,ELECTRONICS > LAPTOPS,BuildPC,Mechanical keyboard with tactile RGB switches.,1693.59 USD
179,Smartwatch Series X,Accessories > Adapters & Hubs,Acoustics,Premium wireless over-ear headphones with active noise cancellation.,$648.73
180,STUDIO MONITOR HEADPHONES,Wearables > Smartwatches,SoundX,Powerful gaming desktop PC with liquid cooling.,₹86252.18
181,over-ear noise canceling headphones,Electronics > Desktops,techcorp,Ergonomic wireless optical mouse with quiet clicks.,₹121903.74
182,4K Ultra HD Monitor 27-inch,Audio > Wireless > Earbuds,   TechCorp   ,Premium wireless over-ear headphones with active noise cancellation.,1882.07 USD
183,gaming desktop rtx 4070,Tech > Audio > Speakers,SoundX,<p>High performance <b>lightweight</b> laptop for productivity.</p>,
184,AIR LITE WIRELESS EARBUDS,,   LogiTech   ,Ergonomic wireless optical mouse with quiet clicks.,
185,Over-Ear Noise Canceling Headphones,Tech > Audio > Speakers,   Apple   ,Affordable office laptop with long battery efficiency.,Free
186,MECHANICAL RGB KEYBOARD,Electronics > Laptops,,Smart watch with heart rate monitor and GPS tracking.,787
187,4K ULTRA HD MONITOR 27-INCH,Electronics > Desktops,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,PRICE: $610.44
188,4K ULTRA HD MONITOR 27-INCH,Accessories > Mouse,TechCorp,Powerful gaming desktop PC with liquid cooling.,-1467.25
189,slim ultrabook 14-inch,Wearables > Smartwatches,techcorp,Professional studio monitor wired headphones for audio mixing.,$865.60
190,ergonomic wireless mouse,Electronics > Laptops,SoundX,Ergonomic wireless optical mouse with quiet clicks.,
191,bluetooth party speaker,Electronics > Desktops,   Zenith   ,,
192,   ProBook Ultra Laptop 15-inch   ,Electronics > Laptops,   BuildPC   ,Powerful gaming desktop PC with liquid cooling.,790
193,   Bluetooth Party Speaker   ,,Acoustics,Mechanical keyboard with tactile RGB switches.,Free
194,ergonomic wireless mouse,,SoundX,Ergonomic wireless optical mouse with quiet clicks.,"$1,933.82"
195,Slim Ultrabook 14-inch,Accessories > Keyboards,TechCorp,Smart watch with heart rate monitor and GPS tracking.,637.96 USD
196,GAMING DESKTOP RTX 4070,,,Ergonomic wireless optical mouse with quiet clicks.,1352.15 USD
197,4K Ultra HD Monitor 27-inch,Accessories > Adapters & Hubs,Clicky,Smart watch with heart rate monitor and GPS tracking.,796.08 USD
198,UNKNOWN PRODUCT,Electronics > Laptops,BuildPC,Ergonomic wireless optical mouse with quiet clicks.,-194.28
199,4K Ultra HD Monitor 27-inch,Tech > Audio > Speakers,Apple,Smart watch with heart rate monitor and GPS tracking.,
200,Gaming Desktop RTX 4070,Tech > Audio > Speakers,,Ultra thin lightweight laptop for everyday office work.,Free
201,Studio Monitor Headphones,Electronics > Computers > Laptops,LogiTech,Ultra thin lightweight laptop for everyday office work.,"$1,274.41"
202,bluetooth party speaker,Wearables > Smartwatches,TechCorp,Ergonomic wireless optical mouse with quiet clicks.,Free
203,   Portable External SSD 1TB   ,ELECTRONICS > LAPTOPS,Zenith,,-353.43
204,Portable External SSD 1TB,ELECTRONICS > LAPTOPS,,Ergonomic wireless optical mouse with quiet clicks.,₹124206.49
205,ergonomic wireless mouse,Audio > Headphones,   Apple   ,Mechanical keyboard with tactile RGB switches.,-1035.05
206,Ergonomic Wireless Mouse,Accessories > Mouse,Clicky,Ultra thin lightweight laptop for everyday office work.,110
207,4K Ultra HD Monitor 27-inch,Electronics > Desktops,Zenith,Mechanical keyboard with tactile RGB switches.,829.51 USD
208,Slim Ultrabook 14-inch,Electronics > Computers > Laptops,SoundX,Ergonomic wireless optical mouse with quiet clicks.,PRICE: $1494.29
209,Studio Monitor Headphones,Accessories > Keyboards,SoundX,Ergonomic wireless optical mouse with quiet clicks.,₹20123.41
210,USB-C MULTIPORT HUB,Electronics > Desktops,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$39.15
211,MECHANICAL RGB KEYBOARD,Audio > Wireless > Earbuds,Acoustics,Professional studio monitor wired headphones for audio mixing.,92.66 USD
212,WORKSTATION LAPTOP PRO 16,Audio > Headphones,   TechCorp   ,Premium wireless over-ear headphones with active noise cancellation.,₹8583.34
213,Studio Monitor Headphones,ELECTRONICS > LAPTOPS,techcorp,<p>High performance <b>lightweight</b> laptop for productivity.</p>,-737.55
214,Portable External SSD 1TB,,Acoustics,Ultra thin lightweight laptop for everyday office work.,₹27708.18
215,smartwatch series x,Audio > Headphones,   Acoustics   ,Premium wireless over-ear headphones with active noise cancellation.,-853.78
216,Smartwatch Series X,Tech > Audio > Speakers,   BuildPC   ,Affordable office laptop with long battery efficiency.,$1955.59
217,ERGONOMIC WIRELESS MOUSE,Accessories > Mouse,   TechCorp   ,Professional studio monitor wired headphones for audio mixing.,1107.22 USD
218,usb-c multiport hub,,Clicky,Compact wireless earbuds with deep bass. <br>Waterproof!,1231.66 USD
219,STUDIO MONITOR HEADPHONES,Accessories > Mouse,   Apple   ,Smart watch with heart rate monitor and GPS tracking.,-1764.37
220,WORKSTATION LAPTOP PRO 16,Electronics > Desktops,Acoustics,Affordable office laptop with long battery efficiency.,1367.19 USD
221,smartwatch series x,Accessories > Adapters & Hubs,Clicky,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1861
222,   Workstation Laptop Pro 16   ,Audio > Headphones,LogiTech,High performance workstation laptop built for video editing.,₹48525.44
223,4k ultra hd monitor 27-inch,,techcorp,Ergonomic wireless optical mouse with quiet clicks.,483
224,   Gaming Desktop RTX 4070   ,Electronics > Computers > Laptops,Clicky,Powerful gaming desktop PC with liquid cooling.,1555
225,4K Ultra HD Monitor 27-inch,Audio > Wireless > Earbuds,Zenith,,
226,ergonomic wireless mouse,Accessories > Adapters & Hubs,BuildPC,Affordable office laptop with long battery efficiency.,Free
227,Portable External SSD 1TB,Tech > Audio > Speakers,,Powerful gaming desktop PC with liquid cooling.,PRICE: $1395.35
228,PROBOOK ULTRA LAPTOP 15-INCH,Electronics > Laptops,Apple,Mechanical keyboard with tactile RGB switches.,₹82776.71
